Ccy1,Ccy2,spotdays,WeekEndDays,Precision,LastUpdatedTime
EUR,XCD,2,Monday,2,21-10-2004 12:24:12 PM
GHS,RSD,2,Wednesday,4,05-12-2017 09:23:00 AM
SGD,AUD,2,"Saturday,Sunday",2,11-10-2007 08:34:00 AM
ILS,USD,2,Monday,4,14-06-2018 02:12:00 PM
RSD,MDL,2,Thursday,8,15-02-2013 01:18:00 PM
EUR,XAF,2,"Saturday,Sunday",2,02-02-2002 06:11:00 AM
EUR,USD,2,Monday,4,17-02-2001 07:15:00 AM
MDL,FKP,2,Thursday,8,12-12-2012 05:19:00 PM
USD,ETB,2,Wednesday,4,13-04-2005 12:12:00 PM
ILS,ETB,2,Friday,2,14-08-2019 05:08:00 AM
XOF,NOK,2,Wednesday,4,19-03-2015 08:06:00 PM
EUR,EUR,2,Sunday,2,18-02-2015 04:18:00 AM
USD,CLP,2,Thursday,4,03-08-2019 02:02:00 PM
EUR,CNY,2,Tuesday,2,09-10-2013 12:04:00 AM
GBP,AMD,2,"Saturday,Sunday",2,10-10-2021 05:08:21 PM
NZD,BND,2,Friday,4,15-12-2009 12:00:00 AM
USD,AUD,2,Sunday,2,18-02-2011 12:00:00 PM
SHP,SHP,2,"Saturday,Sunday",8,22-11-2017 03:03:00 AM
LBP,AMD,2,Tuesday,2,22-10-2022 02:12:00 AM
